Region;Regionalschlüssel;Merkmal;Attribut;Einheit;2010;2011;2012;2013;2014;2015;2016;2017
Altlußheim;226003;Wohnfläche;Wohnfläche insgesamt;m²;261.070;265.376;272.172;277.889;280.544;282.286;288.703;298.345
Angelbachtal;226102;Wohnfläche;Wohnfläche insgesamt;m²;235.768;237.382;239.124;241.262;244.060;246.498;249.984;253.084
Bammental;226006;Wohnfläche;Wohnfläche insgesamt;m²;297.530;301.171;304.286;306.236;309.764;310.851;312.015;314.979
Brühl;226009;Wohnfläche;Wohnfläche insgesamt;m²;657.754;658.209;659.663;661.136;662.562;668.712;678.591;681.376
Dielheim;226010;Wohnfläche;Wohnfläche insgesamt;m²;433.286;435.315;437.673;442.061;445.945;450.188;452.905;455.738
Dossenheim;226012;Wohnfläche;Wohnfläche insgesamt;m²;554.538;559.752;562.305;567.447;571.785;574.774;576.992;578.511
Eberbach, Stadt;226013;Wohnfläche;Wohnfläche insgesamt;m²;697.901;699.251;701.399;703.929;706.580;707.635;710.386;716.805
Edingen-Neckarhausen;226105;Wohnfläche;Wohnfläche insgesamt;m²;640.829;643.898;644.790;646.504;647.488;650.085;653.349;654.498
Epfenbach;226017;Wohnfläche;Wohnfläche insgesamt;m²;123.006;123.337;123.635;124.386;125.678;126.176;126.209;126.323
Eppelheim, Stadt;226018;Wohnfläche;Wohnfläche insgesamt;m²;629.836;634.572;640.685;647.010;649.560;649.921;651.565;652.677
Eschelbronn;226020;Wohnfläche;Wohnfläche insgesamt;m²;121.320;121.517;121.929;122.587;122.621;123.070;123.913;125.063
Gaiberg;226022;Wohnfläche;Wohnfläche insgesamt;m²;130.617;130.731;130.964;130.993;131.497;131.615;131.955;132.821
Heddesbach;226027;Wohnfläche;Wohnfläche insgesamt;m²;25.526;25.724;25.724;25.889;25.889;25.889;25.889;25.889
Heddesheim;226028;Wohnfläche;Wohnfläche insgesamt;m²;529.518;531.861;533.963;535.467;536.631;540.876;552.176;555.995
Heiligkreuzsteinach;226029;Wohnfläche;Wohnfläche insgesamt;m²;149.754;150.058;150.058;150.442;150.586;150.731;151.091;151.562
Helmstadt-Bargen;226106;Wohnfläche;Wohnfläche insgesamt;m²;190.554;191.025;191.593;192.567;193.698;195.236;195.505;196.469
Hemsbach, Stadt;226031;Wohnfläche;Wohnfläche insgesamt;m²;564.083;567.360;568.924;570.686;575.363;576.711;579.302;581.118
Hirschberg an der Bergstraße;226107;Wohnfläche;Wohnfläche insgesamt;m²;487.196;491.106;497.846;506.553;511.292;514.444;517.850;520.497
Hockenheim, Stadt;226032;Wohnfläche;Wohnfläche insgesamt;m²;957.186;960.956;966.028;970.423;974.294;976.955;978.555;985.603
Ilvesheim;226036;Wohnfläche;Wohnfläche insgesamt;m²;405.373;417.467;423.855;427.071;432.817;435.518;438.511;439.960
Ketsch;226037;Wohnfläche;Wohnfläche insgesamt;m²;621.672;623.024;623.759;624.571;625.970;627.952;631.369;635.101
Ladenburg, Stadt;226038;Wohnfläche;Wohnfläche insgesamt;m²;526.226;528.082;530.559;532.151;533.321;537.268;538.036;540.945
Laudenbach;226040;Wohnfläche;Wohnfläche insgesamt;m²;297.192;300.812;303.497;305.438;306.124;313.817;325.154;328.474
Leimen, Stadt;226041;Wohnfläche;Wohnfläche insgesamt;m²;1.148.322;1.151.990;1.159.225;1.161.602;1.164.430;1.178.794;1.182.860;1.187.297
Lobbach;226104;Wohnfläche;Wohnfläche insgesamt;m²;122.074;123.046;123.559;123.890;124.107;124.389;124.676;125.357
Malsch_HD;226046;Wohnfläche;Wohnfläche insgesamt;m²;171.886;174.504;175.610;176.283;176.983;178.307;179.145;179.887
Mauer;226048;Wohnfläche;Wohnfläche insgesamt;m²;187.477;188.583;190.067;192.249;194.174;193.972;195.510;196.464
Meckesheim;226049;Wohnfläche;Wohnfläche insgesamt;m²;254.450;254.885;256.023;257.198;258.520;260.361;262.208;264.210
Mühlhausen;226054;Wohnfläche;Wohnfläche insgesamt;m²;410.924;412.417;414.526;417.895;422.243;428.313;432.516;436.799
Neckarbischofsheim, Stadt;226055;Wohnfläche;Wohnfläche insgesamt;m²;185.861;186.635;188.157;189.940;191.751;193.204;194.164;194.442
Neckargemünd, Stadt;226056;Wohnfläche;Wohnfläche insgesamt;m²;683.193;689.680;702.348;707.371;711.232;714.891;718.809;721.793
Neidenstein;226058;Wohnfläche;Wohnfläche insgesamt;m²;88.917;89.414;89.722;90.111;90.420;90.971;91.635;92.177
Neulußheim;226059;Wohnfläche;Wohnfläche insgesamt;m²;306.133;306.928;307.129;309.688;312.820;317.812;326.298;334.079
Nußloch;226060;Wohnfläche;Wohnfläche insgesamt;m²;511.120;513.552;519.782;525.498;533.303;538.873;543.707;551.569
Oftersheim;226062;Wohnfläche;Wohnfläche insgesamt;m²;522.212;526.110;532.576;543.154;549.814;554.288;556.995;559.312
Plankstadt;226063;Wohnfläche;Wohnfläche insgesamt;m²;444.245;455.126;462.910;467.097;470.746;473.320;476.303;479.364
Rauenberg, Stadt;226065;Wohnfläche;Wohnfläche insgesamt;m²;403.255;408.005;414.205;417.590;421.926;425.218;428.096;430.053
Reichartshausen;226066;Wohnfläche;Wohnfläche insgesamt;m²;99.731;101.036;101.489;101.997;103.242;103.738;104.380;105.091
Reilingen;226068;Wohnfläche;Wohnfläche insgesamt;m²;347.362;348.557;350.350;351.773;354.281;355.916;358.684;361.050
Sandhausen;226076;Wohnfläche;Wohnfläche insgesamt;m²;674.084;677.312;682.117;684.065;690.786;696.197;703.411;704.759
Schönau, Stadt;226080;Wohnfläche;Wohnfläche insgesamt;m²;233.467;233.937;234.264;234.417;234.641;234.959;235.395;236.052
Schönbrunn;226081;Wohnfläche;Wohnfläche insgesamt;m²;158.135;158.424;158.858;159.293;159.784;160.172;161.032;161.437
Schriesheim, Stadt;226082;Wohnfläche;Wohnfläche insgesamt;m²;722.855;726.922;731.896;735.236;741.192;749.618;756.771;763.457
Schwetzingen, Stadt;226084;Wohnfläche;Wohnfläche insgesamt;m²;984.230;986.437;989.507;993.493;995.430;1.000.399;1.005.561;1.005.920
Sinsheim, Stadt;226085;Wohnfläche;Wohnfläche insgesamt;m²;1.621.041;1.627.904;1.641.257;1.646.153;1.654.627;1.667.562;1.678.451;1.686.650
Spechbach;226086;Wohnfläche;Wohnfläche insgesamt;m²;84.237;85.247;85.869;86.623;87.257;87.654;88.279;88.716
St. Leon-Rot;226103;Wohnfläche;Wohnfläche insgesamt;m²;642.813;647.716;652.136;660.121;665.747;673.034;677.741;681.064
Waibstadt, Stadt;226091;Wohnfläche;Wohnfläche insgesamt;m²;270.896;271.293;271.863;274.634;276.266;277.493;277.889;279.028
Walldorf, Stadt;226095;Wohnfläche;Wohnfläche insgesamt;m²;675.939;681.612;690.632;699.693;708.162;714.120;718.573;727.120
Weinheim, Stadt;226096;Wohnfläche;Wohnfläche insgesamt;m²;2.031.634;2.048.348;2.063.180;2.087.075;2.114.695;2.133.685;2.158.521;2.169.067
Wiesenbach;226097;Wohnfläche;Wohnfläche insgesamt;m²;157.077;157.775;158.308;159.364;160.662;162.260;163.366;164.306
Wiesloch, Stadt;226098;Wohnfläche;Wohnfläche insgesamt;m²;1.127.670;1.135.851;1.152.629;1.164.208;1.173.181;1.187.315;1.195.660;1.206.747
Wilhelmsfeld;226099;Wohnfläche;Wohnfläche insgesamt;m²;172.711;172.931;173.133;174.166;174.840;175.787;176.223;177.210
Zuzenhausen;226101;Wohnfläche;Wohnfläche insgesamt;m²;110.396;112.051;112.608;113.107;114.326;115.474;116.671;118.477
Altlußheim;226003;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;61.237;62.928;63.600;63.600;63.600;63.643;64.662;66.854
Angelbachtal;226102;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;39.526;39.834;39.834;39.834;40.153;40.838;40.891;41.991
Bammental;226006;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;86.305;86.305;86.305;86.317;86.562;86.371;86.609;86.609
Brühl;226009;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;297.643;298.453;298.462;299.104;299.469;299.958;299.958;301.161
Dielheim;226010;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;63.534;63.534;63.586;64.108;64.856;65.086;65.086;65.974
Dossenheim;226012;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;294.077;296.044;296.823;300.954;301.039;302.363;302.823;303.782
Eberbach, Stadt;226013;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;256.219;256.434;256.651;257.696;259.274;259.999;261.819;267.172
Edingen-Neckarhausen;226105;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;248.463;250.461;250.556;250.961;250.938;252.515;252.147;252.679
Epfenbach;226017;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;17.783;18.055;18.105;18.105;18.105;18.105;18.382;18.423
Eppelheim, Stadt;226018;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;343.650;344.217;345.426;348.752;350.645;350.645;351.313;351.319
Eschelbronn;226020;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;27.959;27.959;27.959;27.959;27.959;27.959;27.648;27.648
Gaiberg;226022;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;20.169;20.169;20.477;20.506;20.506;20.506;20.506;21.228
Heddesbach;226027;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;3.576;3.576;3.576;3.576;3.576;3.576;3.576;3.576
Heddesheim;226028;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;262.709;262.713;262.254;262.169;262.032;261.991;265.640;266.315
Heiligkreuzsteinach;226029;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;26.052;26.052;26.052;26.052;26.052;26.052;26.052;26.393
Helmstadt-Bargen;226106;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;24.552;24.552;24.552;24.552;24.552;24.552;24.812;25.246
Hemsbach, Stadt;226031;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;226.544;227.961;228.231;228.602;230.561;231.396;232.410;232.833
Hirschberg an der Bergstraße;226107;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;180.200;180.200;181.829;184.698;185.116;185.097;185.484;185.451
Hockenheim, Stadt;226032;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;357.542;357.867;358.552;358.866;359.447;359.935;361.708;363.895
Ilvesheim;226036;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;166.157;167.667;168.653;168.653;170.930;171.158;172.585;173.564
Ketsch;226037;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;188.337;188.446;188.666;188.877;189.291;189.438;190.170;193.631
Ladenburg, Stadt;226038;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;227.916;228.637;229.745;230.869;231.137;234.424;234.449;234.469
Laudenbach;226040;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;72.961;72.961;72.992;72.992;72.992;75.318;78.920;79.625
Leimen, Stadt;226041;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;526.232;527.182;528.938;528.563;530.363;535.883;537.580;540.495
Lobbach;226104;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;14.716;14.716;14.776;14.815;14.850;14.890;15.284;15.284
Malsch_HD;226046;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;26.586;26.926;26.926;26.926;26.926;26.926;26.926;26.926
Mauer;226048;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;43.642;43.872;43.872;43.884;43.884;42.884;43.808;44.057
Meckesheim;226049;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;45.992;45.781;45.781;46.288;46.613;46.917;47.327;47.210
Mühlhausen;226054;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;63.117;63.117;63.820;64.175;65.153;68.243;68.243;68.802
Neckarbischofsheim, Stadt;226055;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;34.189;34.189;34.189;34.189;34.189;34.230;34.911;35.062
Neckargemünd, Stadt;226056;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;195.798;196.450;202.319;202.530;203.837;203.808;204.692;206.536
Neidenstein;226058;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;14.215;14.215;14.215;14.215;14.215;14.215;14.234;14.234
Neulußheim;226059;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;74.765;75.071;75.071;75.465;76.153;76.454;78.740;82.309
Nußloch;226060;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;176.509;176.956;178.408;178.692;179.161;180.726;182.015;184.706
Oftersheim;226062;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;228.894;229.536;229.687;234.055;235.762;237.218;237.555;238.520
Plankstadt;226063;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;148.880;149.927;150.311;149.821;150.271;150.957;151.915;154.137
Rauenberg, Stadt;226065;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;94.137;94.962;95.300;95.682;97.894;98.329;98.924;99.345
Reichartshausen;226066;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;17.038;17.114;17.114;17.182;17.182;17.182;17.543;17.543
Reilingen;226068;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;67.852;67.852;68.263;68.263;69.822;70.291;71.595;71.595
Sandhausen;226076;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;262.836;262.740;263.775;264.850;270.224;272.390;275.225;275.399
Schönau, Stadt;226080;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;49.689;49.689;49.689;49.689;50.034;50.034;50.492;50.492
Schönbrunn;226081;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;18.458;18.458;18.458;18.458;18.458;18.458;18.458;18.458
Schriesheim, Stadt;226082;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;272.706;275.087;278.022;279.155;283.759;290.178;296.175;301.313
Schwetzingen, Stadt;226084;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;596.175;597.327;597.695;600.086;600.381;604.338;606.655;606.932
Sinsheim, Stadt;226085;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;411.161;412.676;418.298;420.047;423.033;427.353;431.236;432.938
Spechbach;226086;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;9.195;9.195;9.195;9.195;9.195;9.195;9.195;9.926
St. Leon-Rot;226103;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;83.592;84.794;85.049;86.630;88.254;90.995;91.878;92.541
Waibstadt, Stadt;226091;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;48.064;48.137;48.468;48.470;48.951;49.722;49.546;49.868
Walldorf, Stadt;226095;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;231.553;232.273;233.674;237.652;241.562;243.469;246.021;250.923
Weinheim, Stadt;226096;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;774.610;783.661;789.721;797.787;805.112;809.207;815.084;815.376
Wiesenbach;226097;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;36.959;37.105;37.405;37.410;37.410;37.410;37.874;37.874
Wiesloch, Stadt;226098;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;422.302;424.318;431.980;436.819;440.983;446.509;450.980;459.662
Wilhelmsfeld;226099;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;43.086;43.089;43.142;43.142;43.142;43.142;43.142;43.142
Zuzenhausen;226101;Wohnfläche;Wohngebäude mit 3 und mehr Wohnungen;m²;15.118;16.080;16.080;16.080;16.844;16.844;16.844;17.451
